RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands
RAL 1000,190-189-127,#BEBD7F,Grünbeige,Green beige,Beige vert,Beige verdoso,Beige verdastro,Groenbeige
RAL 1001,194-176-120,#C2B078,Beige,Beige,Beige,Beige,Beige,Beige
RAL 1002,198-166-100,#C6A664,Sandgelb,Sand yellow,Jaune sable,Amarillo arena,Giallo sabbia,Zandgeel
RAL 1003,229-190-001,#E5BE01,Signalgelb,Signal yellow,Jaune de sécurité,Amarillo señales,Giallo segnale,Signaalgeel
RAL 1004,205-164-052,#CDA434,Goldgelb,Golden yellow,Jaune or,Amarillo oro,Giallo oro,Goudgeel
RAL 1005,169-131-007,#A98307,Honiggelb,Honey yellow,Jaune miel,Amarillo miel,Giallo miele,Honinggeel
RAL 1006,228-160-016,#E4A010,Maisgelb,Maize yellow,Jaune maïs,Amarillo maiz,Giallo polenta,Maisgeel
RAL 1007,220-156-000,#DC9D00,Narzissengelb,Daffodil yellow,Jaune narcisse,Amarillo narciso,Giallo narciso,Narcissengeel
RAL 1011,138-102-066,#8A6642,Braunbeige,Brown beige,Beige brun,Beige pardo,Beige marrone,Bruinbeige
RAL 1012,199-180-070,#C7B446,Zitronengelb,Lemon yellow,Jaune citron,Amarillo limón,Giallo limone,Citroengeel
RAL 1013,234-230-202,#EAE6CA,Perlweiß,Oyster white,Blanc perlé,Blanco perla,Bianco perla,Parelwit
RAL 1014,225-204-079,#E1CC4F,Elfenbein,Ivory,Ivoire,Marfil,Avorio,Ivoorkleurig
RAL 1015,230-214-144,#E6D690,Hellelfenbein,Light ivory,Ivoire clair,Marfil claro,Avorio chiaro,Licht ivoorkleurig
RAL 1016,237-255-033,#EDFF21,Schwefelgelb,Sulfur yellow,Jaune soufre,Amarillo azufre,Giallo zolfo,Zwavelgeel
RAL 1017,245-208-051,#F5D033,Safrangelb,Saffron yellow,Jaune safran,Amarillo azafrán,Giallo zafferano,Saffraangeel
RAL 1018,248-243-053,#F8F32B,Zinkgelb,Zinc yellow,Jaune zinc,Amarillo de zinc,Giallo zinco,Zinkgeel
RAL 1019,158-151-100,#9E9764,Graubeige,Grey beige,Beige gris,Beige agrisado,Beige grigiastro,Grijsbeige
RAL 1020,153-153-080,#999950,Olivgelb,Olive yellow,Jaune olive,Amarillo oliva,Giallo olivastro,Olijfgeel
RAL 1023,250-210-001,#FAD201,Verkehrsgelb,Traffic yellow,Jaune signalisation,Amarillo tráfico,Giallo traffico,Verkeersgeel
